year,quarter,brand,model,count
2023,3,MASERATI,MASERATI QUATTROPORTE,4
2023,3,MCLAREN,MCLAREN 720S,4
2023,3,MERCEDES,MERCEDES SL CLASS,4
2023,3,MERCURY,MERCURY MODEL MISSING,4
2023,3,TOYOTA,TOYOTA 4-RUNNER,4
2023,3,TRIUMPH,TRIUMPH TR6,4
2023,3,MOKE AUTOMIBILI,MOKE AUTOMIBILI MODEL MISSING,3
2023,3,CITROEN,CITROEN RELAY,3
2023,3,FORD,FORD MONDEO,3
2023,3,MERCEDES,MERCEDES VIANO,3
2023,3,SKODA,SKODA YETI,3
2023,3,TOYOTA,TOYOTA AVENSIS,3
2023,3,LEXUS,LEXUS CT 200,3
2023,3,LEXUS,LEXUS LS 500,3
2023,3,LEXUS,LEXUS LS 600,3
2023,3,TOYOTA,TOYOTA CAMRY,3
2023,3,TOYOTA,TOYOTA CENTURY,3
2023,3,ALFA ROMEO,ALFA ROMEO GIULIETTA,3
2023,3,CITROEN,CITROEN DS,3
2023,3,FERRARI,FERRARI F8,3
2023,3,FIAT,FIAT 126,3
2023,3,HOUSEHAM,HOUSEHAM MODEL MISSING,3
2023,3,LOTUS,LOTUS ELAN,3
2023,3,LOTUS,LOTUS EUROPA,3
2023,3,MAZDA,MAZDA MPV,3
2023,3,MERCEDES,MERCEDES 190,3
2023,3,MERCEDES,MERCEDES SLK CLASS,3
2023,3,MG,MG ROADSTER,3
2023,3,MITSUBISHI,MITSUBISHI COLT,3
2023,3,MOBILVETTA,MOBILVETTA MODEL MISSING,3
2023,3,OPEL,OPEL ASCONA,3
2023,3,PORSCHE,PORSCHE BOXSTER,3
2023,3,ROLLS ROYCE,ROLLS ROYCE WRAITH,3
2023,3,ROVER,ROVER MINI,3
2023,3,SUNBEAM,SUNBEAM ALPINE,3
2023,3,TOYOTA,TOYOTA MARK II,3
2023,3,TRIUMPH,TRIUMPH TR3,3
2023,3,VOLKSWAGEN,VOLKSWAGEN KARMANN GHIA,3
2023,3,VOLVO,VOLVO S80,3
2023,3,BYD,BYD ENVIRO,2
2023,3,CITROEN,CITROEN E-C4,2
2023,3,DACIA,DACIA LOGAN,2
2023,3,FIAT,FIAT CHAUSSON,2
2023,3,PEUGEOT,PEUGEOT 106,2
2023,3,SEAT,SEAT ALHAMBRA,2
2023,3,DAIHATSU,DAIHATSU MODEL MISSING,2
2023,3,HONCHING,HONCHING MODEL MISSING,2
2023,3,MASERATI,MASERATI GRANTURISMO,2
2023,3,ACURA,ACURA MDX,2
2023,3,ALFA ROMEO,ALFA ROMEO BERLINA,2
2023,3,ALFA ROMEO,ALFA ROMEO JUNIOR,2
2023,3,ASTON MARTIN,ASTON MARTIN VANQUISH,2
2023,3,AUSTIN,AUSTIN A40,2
2023,3,AUSTIN,AUSTIN SPRITE,2
2023,3,BMW,BMW 3.0 CSL,2
2023,3,BUGATTI,BUGATTI MODEL MISSING,2
2023,3,CHEVROLET GMC,CHEVROLET GMC BELAIR,2
2023,3,CITROEN,CITROEN C1,2
2023,3,DATSUN,DATSUN 240,2
2023,3,FERRARI,FERRARI 458,2
2023,3,FIAT,FIAT BARCHETTA,2
2023,3,FIAT,FIAT DINO,2
2023,3,FORD,FORD ANGLIA,2
2023,3,FORD,FORD GT,2
2023,3,HILLMAN,HILLMAN IMP,2
2023,3,HOLDEN,HOLDEN MODEL MISSING,2
2023,3,HONDA,HONDA S2000,2
2023,3,HUMMER,HUMMER MODEL MISSING,2
2023,3,JAGUAR,JAGUAR MK II,2
2023,3,JEEP,JEEP CHEROKEE,2
2023,3,LANCIA,LANCIA MONTECARLO,2
