year,quarter,brand,model,count
2026,2,JAGUAR,JAGUAR E TYPE,5
2026,2,JEEP,JEEP CHEROKEE,5
2026,2,KIA,KIA PROCEED,5
2026,2,MERCEDES-BENZ,MERCEDES-BENZ AMG SL CLASS,5
2026,2,TOYOTA,TOYOTA SUPRA,5
2026,2,MAXUS,MAXUS MIFA,4
2026,2,SHINERAY,SHINERAY MODEL MISSING,4
2026,2,MERCEDES,MERCEDES G CLASS,4
2026,2,OPEL,OPEL MODEL MISSING,4
2026,2,BMW,BMW X6 M,4
2026,2,JEEP,JEEP RENEGADE,4
2026,2,LEXUS,LEXUS ES,4
2026,2,LEXUS,LEXUS IS,4
2026,2,LEXUS,LEXUS LS,4
2026,2,MERCEDES-BENZ,MERCEDES-BENZ AMG CLE CLASS,4
2026,2,TOYOTA,TOYOTA CORONA,4
2026,2,ALFA ROMEO,ALFA ROMEO SPIDER,4
2026,2,BMW,BMW Z4,4
2026,2,BUICK,BUICK MODEL MISSING,4
2026,2,CITROEN,CITROEN 2CV,4
2026,2,DAIHATSU,DAIHATSU COPEN,4
2026,2,LANCIA,LANCIA MODEL MISSING,4
2026,2,MCLAREN,MCLAREN GT,4
2026,2,MITSUBISHI,MITSUBISHI LANCER,4
2026,2,SUZUKI,SUZUKI ALTO,4
2026,2,TOYOTA,TOYOTA CELICA,4
2026,2,VAUXHALL,VAUXHALL ZAFIRA,4
2026,2,VOLKSWAGEN,VOLKSWAGEN KARMANN GHIA,4
2026,2,VOLKSWAGEN,VOLKSWAGEN LUPO,4
2026,2,MERCEDES-BENZ,MERCEDES-BENZ EQS CLASS,3
2026,2,VAUXHALL,VAUXHALL MODEL MISSING,3
2026,2,VOLVO,VOLVO C40,3
2026,2,VOLVO,VOLVO EX60,3
2026,2,JAGUAR,JAGUAR F-PACE,3
2026,2,MERCEDES,MERCEDES CLS CLASS,3
2026,2,MERCEDES-BENZ,MERCEDES-BENZ WILCOX,3
