year,month,brand,model,count
2025,4,BYD,BYD SEALION 7,7
2025,4,PEUGEOT,E-RIFTER,7
2025,4,AUDI,A5 AVANT 270KW TFSI E,7
2025,4,ADRIA,TWIN 640SGX,7
2025,4,BMW,X1 XDRIVE23I,7
2025,4,CUPRA,CUPRA LEON E-HYBRID200,6
2025,4,MERCEDES-BENZ,EQS 450+,6
2025,4,DETHLEFFS,JUST T 7052 EB/DBM,6
2025,4,VOYAH,FREE,6
2025,4,FIAT,600E,6
2025,4,CAPRON,CVE 600,6
2025,4,BMW,XM,6
2025,4,CITROEN,C4 X,6
2025,4,AUDI,RS 3 SPORTBACK,6
2025,4,PEUGEOT,BOXER,6
2025,4,BMW,M4 COMPETITION M XDRIVE,6
2025,4,CARTHAGO,CHIC C-LINE I 4.9 LE,6
2025,4,POLESTAR,POLESTAR 3,6
2025,4,SUN LIVING,C-SERIES C 65SL,6
2025,4,RAPIDO,N/A,6
2025,4,HYUNDAI,IONIQ6,6
2025,4,MITSUBISHI,MITSUBISHI ECLIPSE CROSS,5
2025,4,CAPRON,V66/ V337,5
2025,4,AUDI,Q8 SPORTBACK 55 E-TRON,5
2025,4,LEXUS,LEXUS UX300H,5
2025,4,DETHLEFFS,JUST T7052 DBM/EB,5
2025,4,VOLKSWAGEN,ID.4 PURE 125KW,5
2025,4,BMW,M135 XDRIVE,5
2025,4,CAPRON,T68C/ T457,5
2025,4,AUDI,RS Q8,5
2025,4,AUDI,A6 SB E-TRON QUATTRO,5
2025,4,BYD,TANG EV,5
2025,4,SUN LIVING,S-SERIES S 75SL,5
2025,4,PORSCHE,911 TARGA 4 GTS,5
2025,4,CAPRON,T67/T448,5
2025,4,POESSL,SUMMIT 540,5
2025,4,ABARTH,500,5
2025,4,MERCEDES-BENZ,AMG S 63 E PERFORMANCE,5
2025,4,VOLKSWAGEN,ID.7 PRO S,5
2025,4,SUN LIVING,S-SERIES S 70SL,5
2025,4,BMW,320E,5
2025,4,BMW,IX2 XDRIVE30,5
